GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
35620,"New York-Newark-Jersey City, NY-NJ",114.81,"New York-Newark-Jersey City, NY-NJ-PA",20011812.0,86445.0,5887025.0,75293.96,0.2942
35660,"Niles, MI",91.969,"Niles, MI",154263.0,55893.0,31324.0,60773.74,0.2031
35840,"North Port-Bradenton-Sarasota, FL",99.255,"North Port-Sarasota-Bradenton, FL",824160.0,67508.0,223999.0,68014.71,0.2718
35980,"Norwich-New London-Willimantic, CT",100.014,"Norwich-New London, CT",269131.0,79040.0,65643.0,79028.94,0.2439
36100,"Ocala, FL",93.834,"Ocala, FL",370372.0,50808.0,59174.0,54146.68,0.1598
36220,"Odessa, TX",96.339,"Odessa, TX",161258.0,64975.0,15625.0,67444.13,0.0969
36260,"Ogden, UT",94.035,"Ogden-Clearfield, UT",687274.0,82990.0,133875.0,88254.37,0.1948
36420,"Oklahoma City, OK",92.444,"Oklahoma City, OK",1412874.0,63351.0,299555.0,68529.06,0.212
36500,"Olympia-Lacey-Tumwater, WA",103.501,"Olympia-Lacey-Tumwater, WA",290642.0,81501.0,74242.0,78744.17,0.2554
36540,"Omaha, NE-IA",93.796,"Omaha-Council Bluffs, NE-IA",959306.0,73757.0,237600.0,78635.55,0.2477
36740,"Orlando-Kissimmee-Sanford, FL",99.784,"Orlando-Kissimmee-Sanford, FL",2632721.0,65086.0,610811.0,65226.89,0.232
36780,"Oshkosh-Neenah, WI",92.548,"Oshkosh-Neenah, WI",171304.0,63938.0,33927.0,69086.31,0.1981
36980,"Owensboro, KY",87.527,"Owensboro, KY",120720.0,58036.0,19266.0,66306.4,0.1596
37100,"Oxnard-Thousand Oaks-Ventura, CA",111.445,"Oxnard-Thousand Oaks-Ventura, CA",845255.0,94150.0,195611.0,84481.13,0.2314
37140,"Paducah, KY-IL",85.3,"Paducah, KY-IL",98477.0,53891.0,15824.0,63178.19,0.1607
37340,"Palm Bay-Melbourne-Titusville, FL",98.909,"Palm Bay-Melbourne-Titusville, FL",601573.0,63632.0,141951.0,64333.88,0.236
37460,"Panama City-Panama City Beach, FL",96.75,"Panama City, FL",181384.0,60473.0,33073.0,62504.39,0.1823
37620,"Parkersburg-Vienna, WV",89.669,"Parkersburg-Vienna, WV",89942.0,50142.0,13715.0,55918.99,0.1525
37860,"Pensacola-Ferry Pass-Brent, FL",95.733,"Pensacola-Ferry Pass-Brent, FL",503173.0,63860.0,96806.0,66706.36,0.1924
37900,"Peoria, IL",90.388,"Peoria, IL",404226.0,62684.0,81776.0,69349.91,0.2023
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",99.006,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6215222.0,79070.0,1717673.0,79863.85,0.2764
38060,"Phoenix-Mesa-Chandler, AZ",99.126,"Phoenix-Mesa-Chandler, AZ",4787811.0,72211.0,1067313.0,72847.69,0.2229
38240,"Pinehurst-Southern Pines, NC",90.864,"Pinehurst-Southern Pines, NC",98618.0,67440.0,28448.0,74220.81,0.2885
38300,"Pittsburgh, PA",94.842,"Pittsburgh, PA",2366544.0,65894.0,630352.0,69477.66,0.2664
38340,"Pittsfield, MA",96.044,"Pittsfield, MA",129089.0,63159.0,34347.0,65760.48,0.2661
